Feature1,Feature2,Label
-3.1913034972026484,-1.3434463913661703,0
-2.5443827245251827,-1.889077410290134,0
2.120295631711899,2.514438834058749,1
-2.981508651047951,-1.5378965257367292,0
-1.9417912815540002,-3.1429702978306233,0
-2.3921081531321575,-3.4635149481321186,0
2.7116148780888896,0.875357908162131,1
-2.601706612229397,-0.14772181549106222,0
-2.8084936028931877,-2.5017570435845364,0
1.1602781578192238,1.4006073545559778,1
-0.969000477504049,-1.0687198808838014,0
-2.6006386899188048,-2.291693749793277,0
2.8294055811834893,-0.21113530900788513,1
2.3384964074944143,1.5847120860991988,1
2.3323140119795918,1.2515134634434464,1
-1.208968052956953,-2.909387454794739,0
-0.13422548885524344,-1.5261670790882125,0
-1.9869981081220929,-0.5464659228426831,0
-2.6800247215784907,-1.7677463028389964,0
-0.916948756824723,-0.946197947965097,0
2.099332305429226,2.751387123371789,1
-0.03812453517785386,0.9919136890825959,1
-2.234153374723336,-2.2341369569491807,0
1.3373762410541534,2.5705986685931594,1
4.153182457511557,1.2326524371119505,1
-2.7925207384327004,-2.114736441466899,0
3.6449677135012837,1.7509639604436216,1
-2.589364756944212,-1.150397902978975,0
0.29661756064484535,1.9444523011033812,1
1.240867338446302,2.1503937864762075,1
-2.3427145165267693,-2.802277269221619,0
2.5193465142411724,3.5327389130025777,1
1.0142739536644563,2.504046515517844,1
1.9920273586833825,3.4799441388900263,1
1.3002744920074147,2.213979910734222,1
-0.8571771854849795,-1.2480669673132259,0
-1.0459982365067977,-1.348608748694202,0
2.0976760985488316,1.2269902161445336,1
0.993982618500298,0.7858113872122678,1
-1.9948865433575391,-2.2345871333751472,0
2.95042383818605,1.4230963443375968,1
1.9809837920973112,0.9974706353621912,1
3.5231240772696575,2.5389100436846586,1
-1.187474177605802,-0.6437599714291771,0
2.0865897874729,1.8443227646079206,1
1.1395866347160477,1.6154444557701746,1
0.8167414873342249,-0.03923217776010057,1
1.1745028032074885,1.6786141583470067,1
1.5123937759275066,1.567441812180379,1
1.937320902726828,2.9551423205012384,1
-3.9187712152990413,-2.0265138754492167,0
-1.9129529317618286,-2.299007350465868,0
0.12920807897414432,1.6484865159586914,1
1.101585328651642,2.4919191715065057,1
-2.772825214537572,-2.236818606740009,0
1.9790984060358519,2.117327383308782,1
2.018418379189552,3.676437312275283,1
-1.2615334200045896,-1.8286317188100294,0
2.681952971294964,1.689733243406544,1
2.371145873371309,1.3960148132841794,1
-2.9194242342338033,-0.4500655949824601,0
-1.930197915009981,-2.38531359686176,0
-1.0366238707556783,-1.5872190730635016,0
2.324166352488442,1.8698569456323155,1
0.3935536797424275,2.203463635867223,1
0.5519156585026759,0.5925362256234448,1
0.33059471887862824,2.543360192379935,1
-2.9905363251306882,-2.566297729602772,0
